2                  00 : 06     05/19/23-14:09:04
4                  00 : 10     05/19/23-14:09:18
5                  00 : 08     05/19/23-14:10:42
10                 00 : 23     05/19/23-14:11:24
12                 00 : 33     05/19/23-14:12:16
12                 00 : 33     05/19/23-14:12:16
12                 00 : 33     05/19/23-14:12:16
12                 00 : 33     05/19/23-14:12:16
12                 00 : 33     05/19/23-14:12:16
12                 00 : 33     05/19/23-14:12:16
12                 00 : 33     05/19/23-14:12:16
12                 00 : 33     05/19/23-14:12:16
12                 00 : 33     05/19/23-14:12:16
12                 00 : 33     05/19/23-14:12:16
12                 00 : 33     05/19/23-14:12:16
12                 00 : 33     05/19/23-14:12:16
12                 00 : 33     05/19/23-14:12:16
